id_gs,autor,cargo,id_institucion,email,citaciones,intereses
12740943834737827853,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",uct,Dirección de correo verificada de alu.uct.cl,Citado por 9619,Derecho Público (Constitucional y Penal) 
12740943834737827853,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",uct,Dirección de correo verificada de uct.cl,Citado por 1658,Ecología acuática crustáceos / Aquatic Ecology crustaceans 
12740943834737827853,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",uct,Dirección de correo verificada de uct.cl,Citado por 1611,General Relativity Spacetime symmetries Black hole physics 
12740943834737827853,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",uct,Dirección de correo verificada de uct.cl,Citado por 1537,geografía física planificación territorial educación geográfica 
12740943834737827853,Angélica Casanova-Katny,Universidad Católica de Temuco,uct,Dirección de correo verificada de uct.cl,Citado por 1332,global climate change global warming antarctic plants moss lichens 
12740943834737827853,segundo quintriqueo millan,Universidad Católica de Temuco,uct,Dirección de correo verificada de uct.cl,Citado por 1199,Educación interculturalidad saberes indígenas investigación en educación 
12740943834737827853,Elias Gustavo Figueroa Villalobos,Universidad Católica de Temuco,uct,Dirección de correo verificada de uct.cl,Citado por 1193,Aquaculture 
12740943834737827853,Daniel San Martín Cantero,Universidad Católica de Temuco,uct,Dirección de correo verificada de uct.cl,Citado por 931,Teoría Fundamentada Socio-fenomenología Metodología Cualitativa Profesores principiantes vida cotidiana 
12740943834737827853,Felipe Caamaño,Profesor de educación física en Universidad Católica de Temuco,uct,Dirección de correo verificada de educa.uct.cl,Citado por 856,Obesidad ejercicio fisiología variables Psicosociales 
12740943834737827853,Pablo Letelier,"Precision Health Research Laboratory, Departamento de Procesos Diagnósticos y …",uct,Dirección de correo verificada de uct.cl,Citado por 807,epigenetics oncology 
12740943834737827853,Gustavo Curaqueo,Profesor Asistente. Universidad Católica de Temuco,uct,Dirección de correo verificada de uct.cl,Citado por 775,Soil Compost Agroecosystem Sustainability Mycorrhiza Biochar 
12740943834737827853,Juan Guillermo Mansilla Sepúlveda,"Profesor Investigador, Universidad Católica de Temuco",uct,Dirección de correo verificada de uct.cl,Citado por 644,Historia de la Educación Fenomenología Investigación Cualitativa Historia indígena Educación 
12740943834737827853,Gertrudis Payas,Profesora e investigadora (UCTemuco),uct,Dirección de correo verificada de uct.cl,Citado por 631,Historia de la traducción y la interpretación mediación lingüística Nueva España Chile Araucanía 
12740943834737827853,Ricardo Salas astrain,"profesor de filosofía, universidad católica de temuco",uct,Dirección de correo verificada de uct.cl,Citado por 506,teoría del reconocimiento justicia filosofía intercultural 
12740943834737827853,Jimmy Pincheira Ulbrich,Universidad Católica de Temuco,uct,Dirección de correo verificada de uct.cl,Citado por 505,Ecología de comunidades conservación biológica plantas trepadoras epifitas vasculares problemas socio-territoriales 
12740943834737827853,Jacobo Hernandez-Montelongo,"Department of Mathematical and Physical Sciences, UC-Temuco",uct,Dirección de correo verificada de uct.cl,Citado por 467,biophysics biomaterials nanomaterials 
12740943834737827853,DANTAGNAN DANTAGNAN HERMAN PATRICIO,Universidad Católica de Temuco/Facultad de Recursos Naturales,uct,Dirección de correo verificada de uct.cl,Citado por 460,Acuicultura/Nutrición de Peces/Nutrición de … 
12740943834737827853,Sharon Viscardi,"Profesor, Universidad Católica de Temuco, Chile",uct,Dirección de correo verificada de uct.cl,Citado por 430,Microbiology Biotechnology 
12740943834737827853,Juan Manuel Sanhueza,"Assistant Professor, Universidad Catolica de Temuco",uct,Dirección de correo verificada de uct.cl,Citado por 368,Veterinary Epidemiology 
12740943834737827853,Gema Pascual Hoyuelos,Universidad Católica de Temuco,uct,Dirección de correo verificada de uct.cl,Citado por 354,Comprensión lectora aprendizaje cooperativo competencias 
12740943834737827853,Oriel Herrera G.,Universidad Católica de Temuco,uct,Dirección de correo verificada de uct.cl,Citado por 335,Education and Technology Colaborative systems 
12740943834737827853,Julio Rojas-Mora,Universidad Católica de Temuco,uct,Dirección de correo verificada de inf.uct.cl,Citado por 310,Public Policy Data Analysis Optimization Fuzzy Sets 
12740943834737827853,Daniel Rozas-Vásquez,Universidad Católica de Temuco,uct,Dirección de correo verificada de uct.cl,Citado por 310,ecosystem services spatial planning environmental assessment landscape ecology spatial decision making 
12740943834737827853,Pedro Jara Seguel,Universidad Católica de Temuco,uct,Dirección de correo verificada de uct.cl,Citado por 302,Citogenética Reproducción 
12740943834737827853,Neli Escandón-Nagel,Universidad Católica de Temuco,uct,Dirección de correo verificada de uct.cl,Citado por 292,
12740943834737827853,VENEGAS TORRES OSVALDO,"Profesor de matemáticas, Universidad Católica de Temuco",uct,Dirección de correo verificada de uct.cl,Citado por 287,Teoría geométrica de funciones teoría de distribuciones y modelamiento … 
12740943834737827853,Ana Barrera-Herrera,"Académica, Universidad Católica de Temuco",uct,Dirección de correo verificada de uct.cl,Citado por 251,adultez emergente salud mental universitarios 
12740943834737827853,Bertha Escobar,Universidad Católica de Temuco,uct,Dirección de correo verificada de uct.cl,Citado por 241,Salud mental  universitarios 
