0,0,All
1000,1000,Multidisciplinary
1101,1100,Agricultural and Biological Sciences (miscellaneous)
1102,1100,Agronomy and Crop Science
1103,1100,Animal Science and Zoology
1104,1100,Aquatic Science
1105,1100,"Ecology, Evolution, Behavior and Systematics"
1106,1100,Food Science
1107,1100,Forestry
1108,1100,Horticulture
1109,1100,Insect Science
1110,1100,Plant Science
1111,1100,Soil Science
1201,1200,Arts and Humanities (miscellaneous)
1202,1200,History
1203,1200,Language and Linguistics
1204,1200,Archeology (arts and humanities)
1205,1200,Classics
1206,1200,Conservation
1207,1200,History and Philosophy of Science
1208,1200,Literature and Literary Theory
1209,1200,Museology
1210,1200,Music
1211,1200,Philosophy
1212,1200,Religious Studies
1213,1200,Visual Arts and Performing Arts
1301,1300,"Biochemistry, Genetics and Molecular Biology (miscellaneous)"
1302,1300,Aging
1303,1300,Biochemistry
1304,1300,Biophysics
1305,1300,Biotechnology
1306,1300,Cancer Research
1307,1300,Cell Biology
1308,1300,Clinical Biochemistry
1309,1300,Developmental Biology
1310,1300,Endocrinology
1311,1300,Genetics
1312,1300,Molecular Biology
1313,1300,Molecular Medicine
1314,1300,Physiology
1315,1300,Structural Biology
1401,1400,"Business, Management and Accounting (miscellaneous)"
1402,1400,Accounting
1403,1400,Business and International Management
1404,1400,Management Information Systems
1405,1400,Management of Technology and Innovation
1406,1400,Marketing
1407,1400,Organizational Behavior and Human Resource Management
1408,1400,Strategy and Management
1409,1400,"Tourism, Leisure and Hospitality Management"
1410,1400,Industrial Relations
1501,1500,Chemical Engineering (miscellaneous)
1502,1500,Bioengineering
1503,1500,Catalysis
1504,1500,Chemical Health and Safety
1505,1500,Colloid and Surface Chemistry
1506,1500,Filtration and Separation
1507,1500,Fluid Flow and Transfer Processes
1508,1500,Process Chemistry and Technology
1601,1600,Chemistry (miscellaneous)
1602,1600,Analytical Chemistry
1603,1600,Electrochemistry
1604,1600,Inorganic Chemistry
1605,1600,Organic Chemistry
1606,1600,Physical and Theoretical Chemistry
1607,1600,Spectroscopy
1701,1700,Computer Science (miscellaneous)
1702,1700,Artificial Intelligence
1703,1700,Computational Theory and Mathematics
1704,1700,Computer Graphics and Computer-Aided Design
1705,1700,Computer Networks and Communications
1706,1700,Computer Science Applications
1707,1700,Computer Vision and Pattern Recognition
1708,1700,Hardware and Architecture
1709,1700,Human-Computer Interaction
1710,1700,Information Systems
1711,1700,Signal Processing
1712,1700,Software
1801,1800,Decision Sciences (miscellaneous)
1802,1800,Information Systems and Management
1803,1800,Management Science and Operations Research
1804,1800,"Statistics, Probability and Uncertainty"
1901,1900,Earth and Planetary Sciences (miscellaneous)
1902,1900,Atmospheric Science
1903,1900,Computers in Earth Sciences
1904,1900,Earth-Surface Processes
1905,1900,Economic Geology
1906,1900,Geochemistry and Petrology
1907,1900,Geology
1908,1900,Geophysics
1909,1900,Geotechnical Engineering and Engineering Geology
1910,1900,Oceanography
1911,1900,Paleontology
1912,1900,Space and Planetary Science
1913,1900,Stratigraphy
2001,2000,"Economics, Econometrics and Finance (miscellaneous)"
2002,2000,Economics and Econometrics
2003,2000,Finance
2101,2100,Energy (miscellaneous)
2102,2100,Energy Engineering and Power Technology
2103,2100,Fuel Technology
2104,2100,Nuclear Energy and Engineering
2105,2100,"Renewable Energy, Sustainability and the Environment"
2201,2200,Engineering (miscellaneous)
2202,2200,Aerospace Engineering
2203,2200,Automotive Engineering
2204,2200,Biomedical Engineering
2205,2200,Civil and Structural Engineering
2206,2200,Computational Mechanics
2207,2200,Control and Systems Engineering
2208,2200,Electrical and Electronic Engineering
2209,2200,Industrial and Manufacturing Engineering
2210,2200,Mechanical Engineering
2211,2200,Mechanics of Materials
2212,2200,Ocean Engineering
2213,2200,"Safety, Risk, Reliability and Quality"
2214,2200,Media Technology
2215,2200,Building and Construction
2216,2200,Architecture
2301,2300,Environmental Science (miscellaneous)
2302,2300,Ecological Modeling
2303,2300,Ecology
2304,2300,Environmental Chemistry
2305,2300,Environmental Engineering
2306,2300,Global and Planetary Change
2307,2300,"Health, Toxicology and Mutagenesis"
2308,2300,"Management, Monitoring, Policy and Law"
2309,2300,Nature and Landscape Conservation
2310,2300,Pollution
2311,2300,Waste Management and Disposal
